year,site,n_susceptible,n_population,pct_susceptible,predator
1993,LWG,22,456,0.0482,Pacific Hake
1994,LWG,50,902,0.0554,Pacific Hake
1995,BON,0,7,0,Pacific Hake
1995,LWG,336,2138,0.1572,Pacific Hake
1996,BON,0,4,0,Pacific Hake
1996,LWG,607,3884,0.1563,Pacific Hake
1997,BON,NA,1,NA,Pacific Hake
1998,LWG,430,3998,0.1076,Pacific Hake
1999,LWG,920,4385,0.2098,Pacific Hake
2000,LWG,1949,2030,0.9601,Pacific Hake
2001,LWG,419,640,0.6547,Pacific Hake
2002,BON,0,35,0,Pacific Hake
2002,LWG,1193,1375,0.8676,Pacific Hake
2003,LWG,1483,1777,0.8346,Pacific Hake
2004,LWG,640,721,0.8877,Pacific Hake
2005,LWG,622,1983,0.3137,Pacific Hake
2006,LWG,979,7541,0.1298,Pacific Hake
2007,LWG,1655,4784,0.3459,Pacific Hake
2008,BON,2,11,0.1818,Pacific Hake
2008,LWG,1425,6008,0.2372,Pacific Hake
2009,BON,4,21,0.1905,Pacific Hake
2009,LWG,864,4235,0.204,Pacific Hake
2010,BON,8,26,0.3077,Pacific Hake
2010,LWG,735,4350,0.169,Pacific Hake
2011,BON,2,6,0.3333,Pacific Hake
2011,LWG,1015,2631,0.3858,Pacific Hake
2012,BON,4,11,0.3636,Pacific Hake
2012,LWG,922,1076,0.8569,Pacific Hake
2013,BON,5,7,0.7143,Pacific Hake
2013,LWG,682,1265,0.5391,Pacific Hake
2014,BON,13,15,0.8667,Pacific Hake
2014,LWG,868,1275,0.6808,Pacific Hake
2015,BON,NA,6,NA,Pacific Hake
2015,LWG,NA,378,NA,Pacific Hake
2016,BON,6,13,0.4615,Pacific Hake
2016,LWG,745,896,0.8315,Pacific Hake
2017,LWG,756,915,0.8262,Pacific Hake
2018,BON,1,3,0.3333,Pacific Hake
2018,LWG,625,927,0.6742,Pacific Hake
2019,LWG,331,444,0.7455,Pacific Hake
1993,LWG,456,456,1,N. Pikeminnow
1994,LWG,902,902,1,N. Pikeminnow
1995,BON,7,7,1,N. Pikeminnow
1995,LWG,2138,2138,1,N. Pikeminnow
1996,BON,4,4,1,N. Pikeminnow
1996,LWG,3884,3884,1,N. Pikeminnow
1997,BON,1,1,1,N. Pikeminnow
1998,LWG,3998,3998,1,N. Pikeminnow
1999,LWG,4385,4385,1,N. Pikeminnow
2000,LWG,2030,2030,1,N. Pikeminnow
2001,LWG,640,640,1,N. Pikeminnow
2002,BON,35,35,1,N. Pikeminnow
2002,LWG,1375,1375,1,N. Pikeminnow
2003,LWG,1777,1777,1,N. Pikeminnow
2004,LWG,721,721,1,N. Pikeminnow
2005,LWG,1983,1983,1,N. Pikeminnow
2006,LWG,7541,7541,1,N. Pikeminnow
2007,LWG,4784,4784,1,N. Pikeminnow
2008,BON,11,11,1,N. Pikeminnow
2008,LWG,6008,6008,1,N. Pikeminnow
2009,BON,21,21,1,N. Pikeminnow
2009,LWG,4235,4235,1,N. Pikeminnow
2010,BON,26,26,1,N. Pikeminnow
2010,LWG,4350,4350,1,N. Pikeminnow
2011,BON,6,6,1,N. Pikeminnow
2011,LWG,2631,2631,1,N. Pikeminnow
2012,BON,11,11,1,N. Pikeminnow
2012,LWG,1076,1076,1,N. Pikeminnow
2013,BON,7,7,1,N. Pikeminnow
2013,LWG,1265,1265,1,N. Pikeminnow
2014,BON,15,15,1,N. Pikeminnow
2014,LWG,1275,1275,1,N. Pikeminnow
2015,BON,6,6,1,N. Pikeminnow
2015,LWG,378,378,1,N. Pikeminnow
2016,BON,13,13,1,N. Pikeminnow
2016,LWG,896,896,1,N. Pikeminnow
2017,LWG,915,915,1,N. Pikeminnow
2018,BON,3,3,1,N. Pikeminnow
2018,LWG,927,927,1,N. Pikeminnow
2019,LWG,444,444,1,N. Pikeminnow
